ModelID	MSIScore	LoHFraction	WGD	CIN	Ploidy	Aneuploidy
ACH-000839	3.68	0.107442983578596	1.0	0.502634318247591	3.15829106158172	20.0
ACH-000041	2.21	0.130088744871113	1.0	0.523865467657356	3.23608901214141	19.0
ACH-002046	2.87	0.222341737599453	1.0	0.679771894583716	3.32671456873659	30.0
ACH-002048	2.48					
ACH-000042	2.07					
ACH-001669	66.49	0.0616815500528704	0.0	0.215905514507665	2.14794446417602	6.0
ACH-001300	1.66	0.017485330570052	0.0	0.224172774117812	2.20607247427065	9.0
ACH-001574	2.66	0.0151265946796863	0.0	0.190192211514025	2.15854290039404	6.0
ACH-000332	2.96	0.250913618145005	1.0	0.722421513093282	3.6032803094274	31.0
ACH-000832	1.28					
ACH-001147	4.76	0.209899584571484	0.0	0.352976423929394	2.14551722782478	7.0
ACH-002074	2.19	0.438501956793133	1.0	0.569840073880441	2.62598133770953	27.0
ACH-001111	2.39	0.0344723957661105	1.0	0.467391023694339	3.62921239223873	28.0
ACH-001057	2.49	0.0737484269152537	0.0	0.215783016038533	2.08879456905962	6.0
ACH-001691	2.66					
ACH-000281	3.09	0.211529663481071	1.0	0.633385424148328	3.46527167416162	23.0
ACH-002922	2.0	0.196946151212414	1.0	0.524800517850251	3.89855430795317	15.0
ACH-000699	2.68					
ACH-000943	90.46	0.0100110765574463	1.0	0.179433387629839	4.50499849667952	36.0
ACH-002471	2.23					
ACH-002490	2.62	0.464890455613473	1.0	0.698414166399167	2.57106257711586	26.0
ACH-000005	0.87	0.339925462995404	1.0	0.48491703423138	2.82663314964444	20.0
ACH-002789	2.47	0.0101985461344498	1.0	0.465130074960759	3.67094962638942	19.0
ACH-001684	2.21	0.0104021816241977	0.0	0.0713914912304369	2.05304628841582	2.0
ACH-003101	2.15	0.0216371971647654	0.0	0.0617477138695421	2.313866915953	1.0
ACH-000833	2.08	0.0769625824029473	1.0	0.550358258969594	3.61520907455303	29.0
ACH-002675	2.33	0.0347067611848414	0.0	0.456529980388166	2.70269104038885	18.0
ACH-000811	24.59					
ACH-000473	1.21					
ACH-000035	0.7	0.629599226985043	1.0	0.516663963695035	2.19511315282739	9.0
